section,in_resume,title,loc,institution,start,end,description_1,description_2,description_3
education,TRUE,"M.S., Program Evaluation and Data Analytics",Arizona State University,"Phoenix, AZ",2019,2020,Graduating in May 2020,NA,NA
education,TRUE,"M.S., Accounting",University of Calcutta,"Kolkata, India",1999,2001,,NA,NA
education,TRUE,Bachelor in Business Administration,Shri Shiksha Yatan College,"Kolkata, India",1995,1998,,,
education,TRUE,Diploma in Business Finance,Institute of Chartered Financial Analyst of India,"Kolkata, India",1998,2000,,,
education,TRUE,Associate in digital Arts ,Mesa Community Collge,"Mesa, AZ",2008,2009,One course away from graduating ,,
key_accomplishments,TRUE,"Over 8 years of banking, investment management and operations experience solving complex time-sensitive problems.",,,,,,NA,NA
key_accomplishments,TRUE,"Experience in commercial banking and handling money market instruments with the largest largest Primary Dealer, State Bank of India.",NA,NA,,,,,
key_accomplishments,TRUE,Best Performer and Employee for the year 2007.,SBI SFHI LTD,"Kolkata, India",,,Received the award for increasing revenue for SBI Kolkata by 120%.,,
key_accomplishments,TRUE,Promoted STEAM based Education. ,Leona Group of Schools,"Chandler, AZ",,,,,
key_accomplishments,TRUE,Master of making math rigorous and meaningful award.,Leona Group of Schools,"Chandler, AZ",,,Received the award for developing geometry curriculum based on art.,,
key_accomplishments,TRUE,Teacher of the Block,Leona Group of Schools,"Chandler, AZ",,,,,
key_accomplishments,TRUE,Art-o-Metry,Facilitated STEAM based art club as a after school program in the valley's prestigeous private school. ,"Chandler, AZ",,,,,
key_accomplishments,TRUE,Entrpeneural Expreience,"Entrepreneurial experience working with large, mid and small size companies including founding two startups.",,,,,,
key_accomplishments,TRUE,100% tution scholarship,University of Calcutta,"Kolkata, India",,,100% tution scholarship to pursue masters program with University of Calcuatta,,
key_accomplishments,TRUE,Sales Force,Trained in Sales Force Admin Module. ,,,,,,
industry_positions,TRUE,High School Mathematics Teacher,Leona Group of Schools,"Chandler, AZ",2016,2019,El Dorado High School (2017-19) and Apache Trail High School (2016-2017). Both Leona Group of Schools are alternative Title-1 Chartered high school in Chandler. These school serves students from all different socio economical background.,"Key Responsibilities were teaching Algebra and Geometry to all levels in high school. I have Mentored students as well. Taught art-based Geometry to make it more interesting for students. Organizing donations in form of food, clothing, and other necessities.",
